profile,scenario,incident_accuracy,execution_attribution,authority_edge_localization,principal_chain_reconstruction,commitment_localization,revocation_localization,composite
B0,scope_escape,1.0,0.0,0.0,0.0,1.0,1.0,0.5
B0,valid_read,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
B0,scope_expansion,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
B0,revoked_authority,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666
B0,commitment_mismatch,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333
B1,scope_escape,1.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666
B1,valid_read,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
B1,scope_expansion,0.0,1.0,0.0,0.0,1.0,1.0,0.5
B1,revoked_authority,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333
B1,commitment_mismatch,0.0,1.0,1.0,0.0,0.0,1.0,0.5
B2,scope_escape,1.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334
B2,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B2,scope_expansion,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666
B2,revoked_authority,0.0,1.0,0.0,1.0,1.0,0.0,0.5
B2,commitment_mismatch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666
B3,scope_escape,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B3,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B3,scope_expansion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B3,revoked_authority,0.0,1.0,0.0,1.0,1.0,0.0,0.5
B3,commitment_mismatch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666
B4,scope_escape,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
B4,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B4,scope_expansion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B4,revoked_authority,0.0,1.0,0.0,1.0,1.0,0.0,0.5
B4,commitment_mismatch,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W,scope_escape,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
W,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W,scope_expansion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W,revoked_authority,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W,commitment_mismatch,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-identity,scope_escape,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666
W-minus-identity,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-identity,scope_expansion,1.0,0.0,1.0,1.0,1.0,1.0,0.8333333333333334
W-minus-identity,revoked_authority,1.0,0.0,1.0,1.0,1.0,1.0,0.8333333333333334
W-minus-identity,commitment_mismatch,1.0,0.0,1.0,1.0,1.0,1.0,0.8333333333333334
W-minus-provenance,scope_escape,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666
W-minus-provenance,valid_read,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
W-minus-provenance,scope_expansion,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
W-minus-provenance,revoked_authority,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
W-minus-provenance,commitment_mismatch,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
W-minus-delegation_scope,scope_escape,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666
W-minus-delegation_scope,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-delegation_scope,scope_expansion,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666
W-minus-delegation_scope,revoked_authority,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-delegation_scope,commitment_mismatch,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-commitment,scope_escape,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-commitment,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-commitment,scope_expansion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-commitment,revoked_authority,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-commitment,commitment_mismatch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666
W-minus-revocation,scope_escape,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
W-minus-revocation,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-revocation,scope_expansion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-revocation,revoked_authority,0.0,1.0,0.0,1.0,1.0,0.0,0.5
W-minus-revocation,commitment_mismatch,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-outcome,scope_escape,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
W-minus-outcome,valid_read,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-outcome,scope_expansion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-outcome,revoked_authority,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W-minus-outcome,commitment_mismatch,1.0,1.0,1.0,1.0,1.0,1.0,1.0
